Price,Year,Age,AGST,WinterRain,HarvestRain
7.495,1952,31,17.1167,600,160
8.0393,1953,30,16.7333,690,80
7.6858,1955,28,17.15,502,130
6.9845,1957,26,16.1333,420,110
6.7772,1958,25,16.4167,582,187
8.0757,1959,24,17.4833,485,187
6.5188,1960,23,16.4167,763,290
8.4937,1961,22,17.3333,830,38
7.388,1962,21,16.3,697,52
6.7127,1963,20,15.7167,608,155
7.3094,1964,19,17.2667,402,96
6.2518,1965,18,15.3667,602,267
7.7443,1966,17,16.5333,819,86
6.8398,1967,16,16.2333,714,118
6.2435,1968,15,16.2,610,292
6.3459,1969,14,16.55,575,244
7.5883,1970,13,16.6667,622,89
7.1934,1971,12,16.7667,551,112
6.2049,1972,11,14.9833,536,158
6.6367,1973,10,17.0667,376,123
6.2941,1974,9,16.3,574,184
7.292,1975,8,16.95,572,171
7.1211,1976,7,17.65,418,247
6.2587,1977,6,15.5833,821,87
7.186,1978,5,15.8167,763,51
6.9541,1979,4,16.1667,717,122
6.4979,1980,3,16,578,74
